CSP,CSPn
E22000355,Cheshire West and Chester
E22000356,Cornwall
E22000357,Daventry and South Northamptonshire
E22000358,Northumberland
E22000359,South Warwickshire
E22000360,Shropshire
E22000361,Wiltshire
E22000362,East and Mid Devon
E22000363,North Devon
E22000364,South Devon and Dartmoor
E22000365,County Durham
E22000366,South Nottinghamshire
E22000367,Dorset
E22000368,North Worcestershire
E22000369,Somerset
E22000371,City of York
E22000372,North Yorkshire
E22000373,Western Suffolk
E22000374,North Hampshire
W14000001,Isle of Anglesey
W14000002,Gwynedd
W14000003,Conwy
W14000004,Denbighshire
W14000005,Flintshire
W14000006,Wrexham
W14000007,Powys
W14000008,Ceredigion
W14000009,Pembrokeshire
W14000010,Carmarthenshire
W14000011,Swansea
W14000012,Neath Port Talbot
W14000013,Bridgend
W14000014,Vale of Glamorgan
W14000015,Cardiff
W14000018,Caerphilly
W14000019,Blaenau Gwent
W14000020,Torfaen
W14000021,Monmouthshire
W14000022,Newport
W14000023,Cwm Taf
