PFA,PFAn
S32000003,Argyll and West Dunbartonshire
S32000004,Ayrshire
S32000005,Dumfries and Galloway
S32000006,Edinburgh
S32000016,Fife
S32000008,Forth Valley
S32000018,Greater Glasgow
S32000010,Highlands and Islands
S32000019,Lanarkshire
S32000015,North East
S32000013,Renfrewshire and Inverclyde
S32000017,Tayside
S32000012,The Lothians and Scottish Borders
