IntermediateZone2011Code,IntermediateZone2011Name
S02002177,Shawhead and Whifflet
S02002178,Greenend and Carnbroe
S02002179,Calderbank and Brownsburn
S02002180,Chapelhall West
S02002181,Chapelhall East
S02002182,Craigneuk Airdrie
S02002183,Petersburn
S02002184,Gartlea
S02002185,Cairnhill
S02002186,Coatdyke and Whinhall
S02002187,Thrashbush
S02002188,Airdrie North
S02002189,Drumgelloch
S02002190,Caldercruix and Plains
S02002191,Glenmavis and Greengairs
S02002192,Gartcosh and Marnock
S02002193,Cardowan and Millerston
S02002194,Stepps
S02002195,Chryston and Muirhead
S02002196,Moodiesburn West
S02002197,Moodiesburn East
S02002198,Westfield
S02002199,Condorrat
S02002200,Greenfaulds
S02002201,Seafar
S02002202,Cumbernauld Central
S02002203,Kildrum
S02002204,Abronhill South
S02002205,Abronhill North
S02002206,Village and Castlecary
S02002207,Carrickstone
S02002208,Balloch West
S02002209,Balloch East
S02002210,Kilsyth East and Croy
S02002211,Kilsyth Bogside
S02002212,Balmalloch
S02002213,"Stromness, Sandwick and Stenness"
S02002214,West Mainland
S02002215,East Mainland
S02002216,West Kirkwall
S02002217,East Kirkwall
S02002218,Isles
S02002219,"Powmill, Cleish and Scotlandwell"
S02002220,Kinross
S02002221,Milnathort and Crook of Devon
S02002222,"Muthill, Greenloaning and Gleneagles"
S02002223,Auchterarder
S02002224,"Comrie, Gilmerton and St Fillans"
S02002225,Crieff North
S02002226,Crieff South
S02002227,Aberuthven and Almondbank
S02002228,"Glenfarg, Dunning and Rhynd"
S02002229,Bridge of Earn and Abernethy
S02002230,Moncrieffe and Friarton
S02002231,"Viewlands, Craigie and Wellshill"
S02002232,Burghmuir and Oakbank
S02002233,Western Edge
S02002234,Letham
S02002235,"Hillyland, Tulloch and Inveralmond"
S02002236,North Muirton and Old Scone
S02002237,Muirton
S02002238,North Inch
S02002239,Central and South Inch
S02002240,Gannochy and Walnut Grove
S02002241,Scone
S02002242,"Guildtown, Balbeggie and St Madoes"
S02002243,Errol and Inchture
S02002244,"Invergowrie, Longforgan and Abernyte"
S02002245,Coupar Angus and Meigle
S02002246,Alyth
S02002247,"Blair Atholl, Strathardle and Glenshee"
S02002248,Blairgowrie East (Rattray)
S02002249,Blairgowrie West
S02002250,Stanley and Murthly
S02002251,Luncarty and Dunkeld
S02002252,Pitlochry
S02002253,Rannoch and Aberfeldy
S02002254,Lochwinnoch
S02002255,Renfrewshire Rural South and Howwood
S02002256,Renfrewshire Rural North and Langbank
S02002257,Kilbarchan
S02002258,Johnstone South West
S02002259,Johnstone North West
S02002260,Johnstone North East
S02002261,Johnstone South East
S02002262,Elderslie and Phoenix
S02002263,Paisley Ferguslie
S02002264,Paisley North West
S02002265,Paisley West
S02002266,Paisley Foxbar
S02002267,Paisley South West
S02002268,Paisley Glenburn West
S02002269,Paisley Glenburn East
S02002270,Paisley South
S02002271,Paisley South East
S02002272,Paisley Dykebar
S02002273,Paisley East
S02002274,Paisley Central
S02002275,Paisley North East
S02002276,Paisley Ralston
S02002277,Paisley Gallowhill and Hillington
S02002278,Paisley North
S02002279,Renfrew West
S02002280,Renfrew South
S02002281,Renfrew East
S02002282,Renfrew North
S02002283,Erskine East and Inchinnan
S02002284,Erskine Central
S02002285,Erskine West
S02002286,Bishopton
S02002287,Linwood South
S02002288,Linwood North
S02002289,Houston South
S02002290,Houston North
S02002291,Bridge of Weir
S02002292,Tweeddale West Area
S02002293,Peebles North
S02002294,Peebles South
S02002295,Tweeddale East Area
S02002296,Earlston Stow and Clovernfords Area
S02002297,Galashiels North
S02002298,Galashiels West
S02002299,Galashiels South
S02002300,Langlee
S02002301,Melrose and Tweedbank Area
S02002302,Lauder and Area
S02002303,Berwickshire Central
S02002304,Duns
S02002305,Berwickshire East
S02002306,Eyemouth
S02002307,Chirnside and Area
S02002308,Coldstream and Area
S02002309,Cheviot East
S02002310,Kelso North
S02002311,Kelso South
S02002312,Cheviot West
S02002313,St Boswells and Newtown Area
S02002314,Jedburgh
S02002315,Denholm and Hermitage
S02002316,Burnfoot
S02002317,Hawick Central
S02002318,Hawick West End
S02002319,Hawick North
S02002320,Ettrick Yarrow and Liliesleaf Area
S02002321,Selkirk
S02002322,Shetland South
S02002323,Lerwick South
S02002324,Lerwick North
S02002325,Central Shetland
S02002326,East and West Mainland
S02002327,North Mainland
S02002328,North and East Isles
S02002329,Carrick South
S02002330,Girvan Glendoune
S02002331,Girvan Ailsa
S02002332,Maybole
S02002333,Carrick North
S02002334,Coylton
S02002335,Alloway and Doonfoot
S02002336,Castlehill and Kincaidston
S02002337,Belmont
S02002338,Holmston and Forehill
S02002339,Ayr South Harbour and Town Centre
S02002340,"Ayr North Harbour, Wallacetown and Newton South"
S02002341,Craigie
S02002342,Dalmilling
S02002343,"Lochside, Braehead and Whitletts"
S02002344,Newton North
S02002345,Heathfield
S02002346,Prestwick West
S02002347,Prestwick East
S02002348,Prestwick Airport and Monkton
S02002349,"Annbank, Mossblown and Tarbolton - the Coalfields"
S02002350,"Dundonald, Loans and Symington"
S02002351,Muirhead
S02002352,Barassie
S02002353,Troon
S02002354,Clydesdale South
S02002355,"Biggar, Symington, Thankerton and Dolphinton"
S02002356,"Carstairs, Carstairs Junction and Carnwath"
S02002357,"Forth, Braehead and Auchengray"
S02002358,Law
S02002359,Carluke West
S02002360,Carluke North
S02002361,Carluke East
S02002362,Carluke South
S02002363,"Crossford, Braidwood and Yieldshields"
S02002364,Lanark North West
S02002365,Lanark North East
S02002366,Lanark South
S02002367,Hazelbank and Kirkfieldbank
S02002368,"Douglas, Coalburn and Rigside"
S02002369,Lesmahagow
S02002370,Kirkmuirhill and Blackwood
S02002371,Ashgill and Netherburn
S02002372,Merryton and Meadowhill
S02002373,"Larkhall Central, Raploch, Millheugh and Burnhead"
S02002374,Hareleeshill
S02002375,Strutherhill
S02002376,Stonehouse
S02002377,Strathaven South
S02002378,Strathaven North
S02002379,"Chapelton, Glengavel and Sandford"
S02002380,"Glassford, Quarter and Allanton"
S02002381,Eddlewood
S02002382,Low Waters
S02002383,Silvertonhill
S02002384,Hamilton Centre and Low Parks
S02002385,Laighstonehall
S02002386,Fairhill
S02002387,Woodhead and Meikle Earnock
S02002388,Little Earnock
S02002389,Earnock
S02002390,Hillhouse
S02002391,High Blantyre
S02002392,Blantyre South and Wheatlands
S02002393,Low Blantyre and Bardykes
S02002394,Blantytre North and Coatshill
S02002395,Burnbank North
S02002396,Burnbank Central and Udston
S02002397,Burnbank South and Chantinghall
S02002398,Whitehill
S02002399,Bothwell South
S02002400,Bothwell North
S02002401,Uddingston and Gardenside
S02002402,"Halfway, Hallside and Drumsagard"
S02002403,Westburn and Newton
S02002404,Vicarland and Cairns
S02002405,Whitlawburn and Greenlees
S02002406,Cambuslang Central
S02002407,"Burgh, Eastfield and Silverbank"
S02002408,Farme Cross and Gallowflat North
S02002409,Shawfield and Clincarthill
S02002410,Burnhill and Bankhead North
S02002411,Bankhead South
S02002412,Spittal
S02002413,High Crosshill
S02002414,Burnside and Springhall
S02002415,Fernhill and Cathkin
S02002416,Nerston and EK Landward Area
S02002417,Calderwood East
S02002418,Calderwood Central
S02002419,Calderwood West and Nerston
S02002420,St Leonards North
S02002421,St Leonards South
S02002422,East Mains
S02002423,West Mains
S02002424,Stewartfield East
S02002425,Stewartfield West
S02002426,"Thorntonhall, Jackton and Gardenhall"
S02002427,Hairmyres and Westwood West
S02002428,Mossneuk and Newlandsmuir
S02002429,Crosshouse and Lindsayfield
S02002430,Whitehills West
S02002431,Greenhills
S02002432,Westwood South
S02002433,Westwood East
S02002434,The Murray
S02002435,"Birniehill, Kelvin and Whitehills East"
S02002436,Blane Valley
S02002437,Balfron and Drymen
S02002438,Kippen and Fintry
S02002439,Cambusbarron
S02002440,Plean and Rural SE
S02002441,Cowie
S02002442,Fallin
S02002443,Bannockburn
S02002444,Hillpark
S02002445,Broomridge
S02002446,Borestone
S02002447,King's Park and Torbrex
S02002448,Braehead
S02002449,City Centre
S02002450,Raploch
S02002451,Cornton
S02002452,Causewayhead
S02002453,Bridge of Allan and University
S02002454,Forth
S02002455,Dunblane East
S02002456,Dunblane West
S02002457,Carse of Stirling
S02002458,Callander and Trossachs
S02002459,Highland
S02002460,IZ01
S02002461,IZ02
S02002462,IZ03
S02002463,IZ04
S02002464,IZ05
S02002465,IZ06
S02002466,IZ07
S02002467,IZ08
S02002468,IZ09
S02002469,IZ10
S02002470,IZ11
S02002471,IZ12
S02002472,IZ13
S02002473,IZ14
S02002474,IZ15
S02002475,IZ16
S02002476,IZ17
S02002477,IZ18
S02002478,Fauldhouse
S02002479,Breich Valley
S02002480,West Calder and Polbeth
S02002481,"Bellsquarry, Adambrae and Kirkton"
S02002482,Bankton and Murieston
S02002483,Dedridge East
S02002484,Mid Calder and Kirknewton
S02002485,East Calder
S02002486,Pumpherston and Uphall Station
S02002487,Craigshill
S02002488,Howden
S02002489,Livingston Village and Eliburn South
S02002490,Ladywell
S02002491,Knightsridge
S02002492,Knightsridge and Deans North
S02002493,Deans
S02002494,Carmondean and Eliburn North
S02002495,Seafield
S02002496,Blackburn
S02002497,Blaeberry Hill and East Whitburn
S02002498,Whitburn Central
S02002499,"Whitburn, Croftmalloch and Greenrigg"
S02002500,Armadale
S02002501,Armadale South
S02002502,"Bathgate, Wester Inch and Inchcross"
S02002503,Bathgate and Boghall
S02002504,Bathgate East
S02002505,Bathgate West
S02002506,"Blackridge, Westfield and Torphichen"
S02002507,Linlithgow South
S02002508,Linlithgow Bridge
S02002509,Linlithgow North
S02002510,"Winchburgh, Bridgend and Philpstoun"
S02002511,Broxburn Kirkhill
S02002512,"Uphall, Dechmont and Ecclesmachan"
S02002513,Broxburn South
S02002514,Broxburn East
