OA,CTRY
E00000648,ENG
E00000649,ENG
E00000650,ENG
E00000651,ENG
E00000652,ENG
E00000653,ENG
E00000654,ENG
E00000655,ENG
E00000656,ENG
E00000657,ENG
E00000658,ENG
E00000659,ENG
E00000660,ENG
E00000661,ENG
E00000662,ENG
E00000663,ENG
E00000664,ENG
E00000665,ENG
E00000666,ENG
E00000667,ENG
E00000668,ENG
E00000669,ENG
E00000670,ENG
E00000671,ENG
E00000672,ENG
E00000674,ENG
E00000675,ENG
E00000676,ENG
E00000677,ENG
E00000678,ENG
E00000679,ENG
E00000680,ENG
E00000681,ENG
E00000682,ENG
E00000683,ENG
E00000684,ENG
E00000685,ENG
E00000686,ENG
E00000687,ENG
E00000688,ENG
E00000689,ENG
E00000690,ENG
E00000691,ENG
E00000692,ENG
E00000693,ENG
E00000694,ENG
E00000695,ENG
E00000696,ENG
E00000697,ENG
E00000698,ENG
E00000699,ENG
E00000700,ENG
E00000701,ENG
E00000702,ENG
E00000703,ENG
E00000704,ENG
E00000705,ENG
E00000706,ENG
E00000707,ENG
E00000708,ENG
E00000709,ENG
E00000710,ENG
E00000711,ENG
E00000712,ENG
E00000713,ENG
E00000714,ENG
E00000715,ENG
E00000716,ENG
E00000717,ENG
E00000718,ENG
E00000719,ENG
E00000720,ENG
E00000721,ENG
E00000722,ENG
E00000723,ENG
E00000724,ENG
E00000725,ENG
E00000726,ENG
E00000727,ENG
E00000728,ENG
E00000729,ENG
E00000730,ENG
E00000731,ENG
E00000732,ENG
E00000733,ENG
E00000734,ENG
E00000736,ENG
E00000737,ENG
E00000738,ENG
E00000739,ENG
E00000740,ENG
E00000742,ENG
E00000743,ENG
E00000744,ENG
E00000745,ENG
E00000746,ENG
E00000747,ENG
E00000748,ENG
E00000749,ENG
E00000750,ENG
E00000751,ENG
E00000752,ENG
E00000754,ENG
E00000755,ENG
E00000756,ENG
E00000757,ENG
E00000758,ENG
E00000760,ENG
E00000761,ENG
E00000762,ENG
E00000763,ENG
E00000764,ENG
E00000765,ENG
E00000766,ENG
E00000767,ENG
E00000768,ENG
E00000769,ENG
E00000770,ENG
E00000771,ENG
E00000772,ENG
E00000773,ENG
E00000774,ENG
E00000775,ENG
E00000776,ENG
E00000777,ENG
E00000778,ENG
E00000779,ENG
E00000780,ENG
E00000781,ENG
E00000782,ENG
E00000783,ENG
E00000785,ENG
E00000786,ENG
E00000787,ENG
E00000788,ENG
E00000789,ENG
E00000790,ENG
E00000791,ENG
E00000792,ENG
E00000793,ENG
E00000794,ENG
E00000795,ENG
E00000796,ENG
E00000797,ENG
E00000798,ENG
E00000799,ENG
E00000800,ENG
E00000801,ENG
E00000802,ENG
E00000803,ENG
E00000804,ENG
E00000805,ENG
E00000806,ENG
E00000807,ENG
E00000808,ENG
