WARD,WARDn,PFN,PFNn,LAD,LADn
S13003102,East Kilbride Central North,S32000019_002,"East Kilbride, Cambuslang and Rutherglen",S12000029,South Lanarkshire
S13003101,East Kilbride Central South,S32000019_002,"East Kilbride, Cambuslang and Rutherglen",S12000029,South Lanarkshire
S13003104,East Kilbride East,S32000019_002,"East Kilbride, Cambuslang and Rutherglen",S12000029,South Lanarkshire
S13003100,East Kilbride South,S32000019_002,"East Kilbride, Cambuslang and Rutherglen",S12000029,South Lanarkshire
S13003103,East Kilbride West,S32000019_002,"East Kilbride, Cambuslang and Rutherglen",S12000029,South Lanarkshire
S13003106,Rutherglen Central and North,S32000019_002,"East Kilbride, Cambuslang and Rutherglen",S12000029,South Lanarkshire
S13003105,Rutherglen South,S32000019_002,"East Kilbride, Cambuslang and Rutherglen",S12000029,South Lanarkshire
S13003099,Avondale and Stonehouse,S32000019_003,Hamilton and Clydesdale,S12000029,South Lanarkshire
S13003109,Blantyre,S32000019_003,Hamilton and Clydesdale,S12000029,South Lanarkshire
S13003110,Bothwell and Uddingston,S32000019_003,Hamilton and Clydesdale,S12000029,South Lanarkshire
S13003097,Clydesdale East,S32000019_003,Hamilton and Clydesdale,S12000029,South Lanarkshire
S13003096,Clydesdale North,S32000019_003,Hamilton and Clydesdale,S12000029,South Lanarkshire
S13003098,Clydesdale South,S32000019_003,Hamilton and Clydesdale,S12000029,South Lanarkshire
S13003095,Clydesdale West,S32000019_003,Hamilton and Clydesdale,S12000029,South Lanarkshire
S13003111,Hamilton North and East,S32000019_003,Hamilton and Clydesdale,S12000029,South Lanarkshire
S13003113,Hamilton South,S32000019_003,Hamilton and Clydesdale,S12000029,South Lanarkshire
S13003112,Hamilton West and Earnock,S32000019_003,Hamilton and Clydesdale,S12000029,South Lanarkshire
S13003114,Larkhall,S32000019_003,Hamilton and Clydesdale,S12000029,South Lanarkshire
S13003056,Bellshill,S32000019_004,"Motherwell, Wishaw and Bellshill",S12000050,North Lanarkshire
S13003054,Fortissat,S32000019_004,"Motherwell, Wishaw and Bellshill",S12000050,North Lanarkshire
S13003057,Mossend and Holytown,S32000019_004,"Motherwell, Wishaw and Bellshill",S12000050,North Lanarkshire
S13003059,Motherwell North,S32000019_004,"Motherwell, Wishaw and Bellshill",S12000050,North Lanarkshire
S13003060,Motherwell South East and Ravenscraig,S32000019_004,"Motherwell, Wishaw and Bellshill",S12000050,North Lanarkshire
S13003058,Motherwell West,S32000019_004,"Motherwell, Wishaw and Bellshill",S12000050,North Lanarkshire
S13003061,Murdostoun,S32000019_004,"Motherwell, Wishaw and Bellshill",S12000050,North Lanarkshire
S13003055,Thorniewood,S32000019_004,"Motherwell, Wishaw and Bellshill",S12000050,North Lanarkshire
S13003062,Wishaw,S32000019_004,"Motherwell, Wishaw and Bellshill",S12000050,North Lanarkshire
