WARD,WARDn,PFN,PFNn,LAD,LADn
S13002920,Pentland Hills,S32000006_004,South West,S12000036,City of Edinburgh
S13002925,Sighthill/Gorgie,S32000006_004,South West,S12000036,City of Edinburgh
S13002877,Clackmannanshire Central,S32000008_001,Clackmannanshire,S12000005,Clackmannanshire
S13002879,Clackmannanshire East,S32000008_001,Clackmannanshire,S12000005,Clackmannanshire
S13002876,Clackmannanshire North,S32000008_001,Clackmannanshire,S12000005,Clackmannanshire
S13002878,Clackmannanshire South,S32000008_001,Clackmannanshire,S12000005,Clackmannanshire
S13002875,Clackmannanshire West,S32000008_001,Clackmannanshire,S12000005,Clackmannanshire
S13002936,Bo'ness and Blackness,S32000008_002,Falkirk,S12000014,Falkirk
S13002940,Bonnybridge and Larbert,S32000008_002,Falkirk,S12000014,Falkirk
S13002939,"Carse, Kinnaird and Tryst",S32000008_002,Falkirk,S12000014,Falkirk
S13002938,Denny and Banknock,S32000008_002,Falkirk,S12000014,Falkirk
S13002941,Falkirk North,S32000008_002,Falkirk,S12000014,Falkirk
S13002942,Falkirk South,S32000008_002,Falkirk,S12000014,Falkirk
S13002937,Grangemouth,S32000008_002,Falkirk,S12000014,Falkirk
S13002943,Lower Braes,S32000008_002,Falkirk,S12000014,Falkirk
S13002944,Upper Braes,S32000008_002,Falkirk,S12000014,Falkirk
S13003121,Bannockburn,S32000008_003,Stirling,S12000030,Stirling
S13003117,Dunblane and Bridge of Allan,S32000008_003,Stirling,S12000030,Stirling
S13003116,Forth and Endrick,S32000008_003,Stirling,S12000030,Stirling
S13003120,Stirling East,S32000008_003,Stirling,S12000030,Stirling
S13003118,Stirling North,S32000008_003,Stirling,S12000030,Stirling
S13003119,Stirling West,S32000008_003,Stirling,S12000030,Stirling
S13003115,Trossachs and Teith,S32000008_003,Stirling,S12000030,Stirling
S13002998,Black Isle,S32000010_001,North Highland,S12000017,Highland
S13002995,Cromarty Firth,S32000010_001,North Highland,S12000017,Highland
S13002997,Dingwall and Seaforth,S32000010_001,North Highland,S12000017,Highland
S13002993,East Sutherland and Edderton,S32000010_001,North Highland,S12000017,Highland
S13002990,"North, West and Central Sutherland",S32000010_001,North Highland,S12000017,Highland
S13002996,Tain and Easter Ross,S32000010_001,North Highland,S12000017,Highland
S13002991,Thurso and Northwest Caithness,S32000010_001,North Highland,S12000017,Highland
S13002994,"Wester Ross, Strathpeffer and Lochalsh",S32000010_001,North Highland,S12000017,Highland
S13002992,Wick and East Caithness,S32000010_001,North Highland,S12000017,Highland
S13003001,Aird and Loch Ness,S32000010_002,Inverness,S12000017,Highland
S13003006,Culloden and Ardersier,S32000010_002,Inverness,S12000017,Highland
S13003003,Inverness Central,S32000010_002,Inverness,S12000017,Highland
S13003005,Inverness Millburn,S32000010_002,Inverness,S12000017,Highland
S13003004,Inverness Ness-side,S32000010_002,Inverness,S12000017,Highland
S13003008,Inverness South,S32000010_002,Inverness,S12000017,Highland
S13003002,Inverness West,S32000010_002,Inverness,S12000017,Highland
S13003009,Badenoch and Strathspey,S32000010_003,South Highland,S12000017,Highland
